MonthName,MonthNumber
eyomsintsi,9
fabrairu,2
feabhra,2
feb,2
febbraio,2
febbraiu,2
febr,2
febreiro,2
febrer,2
febrero,2
febrewaris,2
febroary,2
februar,2
februari,2
februarie,2
februarius,2
februaro,2
february,2
februwari,2
február,2
februára,2
februāris,2
febrúar,2
fepuari,2
fevereiro,2
fevral,2
fevrier,2
fevriye,2
frar,2
février,2
geguzes,5
gegužė,5
gegužės,5
gen,1
gener,1
gennaio,1
ghjinnaghju,1
ghjugnu,6
giu,6
giugno,6
gorffennaf,7
grudnia,12
grudzień,12
gruodis,12
gruodzio,12
gruodžio,12
gulan,5
gumiguru,10
gunyana,9
gusht,8
hakihea,12
haziran,6
heinakuuta,7
heinäkuu,7
heinäkuuta,7
helmikuu,2
helmikuuta,2
huhtikuu,4
huhtikuuta,4
hui-tanguru,2
hulyo,7
hunyo,6
hydref,10
hōngongoi,7
ianuari,1
ianuarie,1
ianuarii,1
ianvaria,1
iiunia,6
ionawr,1
iraila,9
isilimela,6
iuli,7
iulie,7
iulii,7
iuni,6
iunie,6
iyul,7
iyun,6
iúil,7
jaanuar,1
jan,1
janairu,1
janar,1
janeiro,1
jannar,1
jannewaris,1
janoary,1
januar,1
januari,1
januari-,1
januarie,1
januaro,1
january,1
januwari,1
január,1
januára,1
janvier,1
janvye,1
janvāris,1
janvƒåris,1
janúar,1
jen,6
jiyè,7
jolay,7
jona,6
joulukuu,12
joulukuuta,12
juillet,7
juilt,7
juin,6
jul,7
jula,7
julai,7
julayi,7
julho,7
juli,7
juli-,7
julie,7
julij,7
julijs,7
julio,7
juliol,7
july,7
jun,6
juna,6
june,6
junho,6
juni,6
juni-,6
junie,6
junij,6
junijs,6
junio,6
juny,6
juuli,7
juuni,6
jänner,1
júl,7
júla,7
július,7
júlí,7
jún,6
júna,6
június,6
júní,6
jūlijs,7
jūnijs,6
j≈´lijs,5
ka,5
kan,5
kann,5
kasim,11
kasım,11
kesakuuta,6
kesäkuu,6
kesäkuuta,6
kia,5
kolovoz,8
kolovoza,8
korrik,7
kovas,3
kovo,3
kubvumbi,4
kukadzi,2
kurume,3
kvetna,5
kvitnia,5
května,5
kwiecień,4
kwietnia,4
kọkànlá oṣù,11
laga yaabaa,5
lapkricio,11
lapkritis,11
lapkričio,11
le,5
leden,1
ledna,1
lehet,5
liepa,7
liepos,7
lipanj,6
lipca,7
lipiec,7
lipnia,6
lipnja,6
listopad,11
listopada,11
listopadu,11
lokakuu,10
lokakuuta,10
lug,7
luglio,7
lugliu,7
lulju,7
lutego,2
luty,2
lúnasa,8
maaliskuu,3
maaliskuuta,3
maart,3
mac,3
machi,3
mae,5
maehe,3
mag,5
maggio,5
maghju,5
mahuru,9
mai,5
maiatza,5
maig,5
maijs,5
maio,5
maj,5
maja,5
majo,5
mar,3
marca,3
march,3
marco,3
marec,3
maret,3
maris,3
marraskuu,11
marraskuuta,11
mars,3
marsh,3
marso,3
marsz,3
mart,3
martie,3
martii,3
marto,3
marts,3
martxoa,3
marz,3
marzo,3
marzu,3
marã§o,3
març,3
março,3
marš,3
mar√é¬ßo,3
mas,3
mashi,3
mati,3
mawrth,3
may,5
mayo,5
mayu,5
mayä±s,5
mayıs,5
mayıs ayı,5
maí,5
mbudzi,11
me,5
medi,9
mee,5
mehefin,6
mei,5
meie,5
meitheamh,6
mejju,5
mey,5
meán fómhair,9
mijdar,11
mmesa,4
może,5
mphalane,10
mrt,3
mulole,5
mund,5
mungkin,5
máj,5
mája,5
május,5
márc,3
március,3
márta,3
mã¤rz,3
mäerz,3
märts,3
märz,3
m√§rts,3
m√°rcius,3
ndira,1
nisan,4
nobyembre,11
noiabria,11
noiembrie,11
nollaig,12
nopember,11
nov,11
novambra,11
novanm,11
novema,11
novemba,11
novembar,11
november,11
novembra,11
novembre,11
novembris,11
novembro,11
novembru,11
noviembre,11
novimber,11
noyabr,11
nuku,10
nuvembre,11
nuwamba,11
nyamavhuvhu,8
nëntor,11
nóvember,11
ocak,1
oct,10
october,10
octobre,10
octobris,10
octombrie,10
octubre,10
ogos,8
okitopa,10
okt,10
okthoba,10
oktoba,10
oktobar,10
oktober,10
oktobra,10
oktobris,10
oktobro,10
oktoober,10
oktubre,10
oktyabr,10
oktòb,10
október,10
októbra,10
otsaila,2
ott,10
ottobre,10
ottubru,10
out,8
outubro,10
ožujak,3
ožujka,3
pazdziernika,10
październik,10
października,10
pebrero,2
pebruari,2
peut,5
phato,8
pipiri,6
potrebbe,5
prill,4
prosinac,12
prosinca,12
prosince,12
prosinec,12
pûşper,6
qadam tashlamoq,3
qershor,6
reşemî,2
rhagfyr,12
rijna,10
rugpjucio,8
rugpjūtis,8
rugpjūčio,8
rugsejo,9
rugsėjis,9
rugsėjo,9
rujan,9
rujna,9
rêbendan,1
saattaa,5
samhain,11
satumba,9
sausio,1
sausis,1
sentiabria,9
sentyabr,9
sep,9
septambra,9
septanm,9
septemba,9
septembar,9
september,9
septembra,9
septembre,9
septembrie,9
septembris,9
septembro,9
septhemba,9
septiembre,9
set,9
setema,9
setembre,9
setembro,9
settembre,9
settembru,9
setyembre,9
shkurt,2
shtator,9
sichnia,8
sierpień,8
sierpnia,8
siječanj,1
siječnja,1
sittembre,9
smieť,5
smět,5
spalio,10
spalio mėn,10
spetimber,9
srpanj,7
srpen,8
srpna,8
srpnja,7
studeni,11
studenog,11
styczeń,1
stycznia,1
svibanj,5
svibnja,5
syyskuu,9
syyskuuta,9
szept,9
szeptember,9
tachwedd,11
tammikuu,1
tammikuuta,1
tebax,8
temmuz,7
tesema,12
tetor,10
tháng ba,3
tháng bảy,7
tháng chín,9
tháng giêng,1
tháng hai,2
tháng mười,10
tháng mười hai,12
tháng mười một,11
tháng sáu,6
tháng tám,8
tháng tư,4
toukokuuta,5
travanj,4
travnia,4
travnja,4
tîrmeh,7
ucanzibe,5
unora,2
urria,10
urtarrila,1
utshazimpuzi,4
uztaila,7
vasario,2
vasaris,2
veebruar,2
veljace,2
veljača,2
veljače,2
veresnia,9
whiringa,11
wrzesień,9
wrzesnia,9
września,9
xaneiro,1
xullo,7
xuño,6
yanvar,1
yuli,7
yuni,6
zari,9
zvita,12
září,9
 april ,4
 avgust,8
 dekemvri,12
 fevruari,2
 mai,5
 mart,3
 noemvri,11
 oktomvri,10
 septemvri,9
 yanuari,1
 yuli,7
 yuni,6
 август,8
 април ,4
 декември,12
 май,5
 март,3
 ноември,11
 октомври,10
 септември,9
 февруари,2
 юли,7
 юни,6
ágúst,8
ápr,4
április,4
îlon,9
únor,2
února,2
červen,6
července,7
červenec,7
června,6
ġunju,6
říjen,10
října,10
şubat,2
απρίλιος,4
αύγουστος,8
δεκέμβριος,12
ενδέχεται,5
ιανουάριος,1
ιούλιος,7
ιούνιος,6
μάρτιος,3
νοέμβριος,11
οκτώβριος,10
σεπτέμβριος,9
φεβρουάριος,2
август,8
августа,8
августейший,8
апрел,4
апрель,4
апреля,4
април,4
аравдугаар сар,10
арваннэгдүгээр,11
арванхоёрдугаар сар,12
аўгусту,8
ақпан,2
березень,3
березня,3
верасень,9
вересень,9
вересня,9
грудень,12
грудня,12
гуравдугаар сар,3
декабр,12
декабрь,12
декабря,12
декември,12
децембар,12
долдугаар сарын,7
дөрөвдүгээр сар,4
есдүгээр,9
желтоқсан,12
жовтень,10
жовтня,10
июл,7
июль,7
июля,7
июн,6
июнь,6
июня,6
кастрычніка,10
квітень,4
квітня,4
красавік,4
липень,7
липня,7
листопад,11
листопада,11
лютага,2
лютий,2
лютого,2
ліпеня,7
лістапада,11
май,5
мамыр,5
март,3
марта,3
марш,3
маусым,6
мая,5
мај,5
можа,5
може,5
наймдугаар сар,8
найясніший,8
наурыз,3
новембар,11
ноември,11
ноябр,11
ноябрь,11
ноября,11
октобар,10
октомври,10
октябр,10
октябрь,10
октября,10
оны зургадугаар сарын,6
оны нэгдүгээр сарын,1
сентябр,9
сентябрь,9
сентября,9
септембар,9
септември,9
серпень,8
серпня,8
снежні,12
студзень,1
січень,1
січня,1
сәуір,4
тамыз,8
травень,5
травня,5
фебруар,2
феврал,2
февраль,2
февраля,2
февруари,2
хоёрдугаар сар,2
червень,6
червня,6
чэрвень,6
шілде,7
юли,7
юни,6
январ,1
январь,1
января,1
януари,1
јануар,1
јануари,1
јул,7
јули,7
јун,6
јуни,6
қазан,10
қараша,11
қаңтар,1
қыркүйек,9
ապրիլ,4
դեկտեմբեր,12
երթ,3
հոկտեմբեր,10
հուլիսի,7
հունիսի,6
հունվարի,1
մայիս,5
նոյեմբեր,11
սեպտեմբեր,9
փետրվար,2
օգոստոս,8
אַפּריל,4
דעצעמבער,12
דצמבר,12
יאַנואַר,1
יוני,6
ינואר,1
מאַרץ,3
מאי,5
מייַ,5
סעפּטעמבער,9
ספטמבר,9
פעברואַר,2
آگسٽ,8
اپريل,4
اپریل,4
اګست,8
جنوري,1
سبتمبر,9
فوریه,2
مئي,5
مئی,5
مارس,3
مارچ,3
ممکن است,5
می,5
ژانویه,1
अक्टूबर,10
अक्टोबर,10
अगस्ट,8
अगस्त,8
अप्रिल,4
अप्रैल,4
एप्रिल,4
ऑक्टोबर,10
ऑगस्ट,8
जनवरी,1
जानेवारी,1
जुन,6
जुलाई,7
जुलै,7
जून,6
डिसेंबर,12
डिसेम्बर,12
दिसंबर,12
नवंबर,11
नोभेम्बर,11
नोव्हेंबर,11
फरवरी,2
फेब्रुअरी,2
फेब्रुवारी,2
मई,5
मार्च,3
मे,5
सक्छ,5
सप्टेंबर,9
सितंबर,9
सेप्टेम्बर,9
অক্টোবর,10
অগাস্ট,8
এপ্রিল,4
জানুয়ারী,1
জুন,6
জুলাই,7
ডিসেম্বর,12
নভেম্বর,11
ফেব্রুয়ারি,2
মার্চ,3
মে,5
সেপ্টেম্বর,9
ਅਕਤੂਬਰ,10
ਅਗਸਤ,8
ਅਪ੍ਰੈਲ,4
ਜਨਵਰੀ,1
ਜੁਲਾਈ,7
ਜੂਨ,6
ਦਸੰਬਰ,12
ਨਵੰਬਰ,11
ਫਰਵਰੀ,2
ਮਈ,5
ਮਾਰਚ,3
ਸਤੰਬਰ,9
એપ્રિલ,4
ઓક્ટોબર,10
ઓગસ્ટ,8
કુચ,3
જાન્યુઆરી,1
જુલાઈ,7
જૂન,6
ડિસેમ્બર,12
નવેમ્બર,11
ફેબ્રુઆરી,2
મે,5
સપ્ટેમ્બર,9
அக்டோபர்,10
ஆகஸ்ட்,8
ஏப்ரல்,4
செப்டம்பர்,9
ஜனவரி,1
ஜூன்,6
ஜூலை,7
டிசம்பர்,12
நவம்பர்,11
பிப்ரவரி,2
மார்ச்,3
மே,5
అక్టోబర్,10
ఆగస్టు,8
ఏప్రిల్,4
జనవరి,1
జూన్,6
జూలై,7
డిసెంబర్,12
నవంబర్,11
ఫిబ్రవరి,2
మార్చి,3
మే,5
సెప్టెంబర్,9
ಅಕ್ಟೋಬರ್,10
ಆಗಸ್ಟ್,8
ಏಪ್ರಿಲ್,4
ಜನವರಿ,1
ಜುಲೈ,7
ಜೂನ್,6
ಡಿಸೆಂಬರ್,12
ನವೆಂಬರ್,11
ಫೆಬ್ರವರಿ,2
ಮಾರ್ಚ್,3
ಮೇ,5
ಸೆಪ್ಟೆಂಬರ್,9
ആഗസ്റ്റ്,8
ഏപ്രിൽ,4
ഒക്ടോബർ,10
ജനുവരി,1
ജൂണ്,6
ജൂലൈ,7
ഡിസംബർ,12
നവംബര്,11
ഫെബ്രുവരി,2
മാര്ച്ച്,3
മേയ്,5
സെപ്റ്റംബർ,9
අගෝස්තු,8
අප්රේල්,4
ඔක්තෝම්බර්,10
ජනවාරි,1
ජුලි,7
ජූනි,6
දෙසැම්බර්,12
නොවැම්බර්,11
පෙබරවාරි,2
මාර්තු,3
මැයි,5
සැප්තැම්බර්,9
กรกฎาคม,7
กันยายน,9
กุมภาพันธ์,2
ตุลาคม,10
ธันวาคม,12
พฤศจิกายน,11
มกราคม,1
มิถุนายน,6
มีนาคม,3
สิงหาคม,8
อาจ,5
เมษายน,4
ກັນຍາ,9
ກຸມພາ,2
ກໍລະກົດ,7
ຕຸລາ,10
ທັນວາ,12
ພະຈິກ,11
ພຶດສະພາ,5
ມັງກອນ,1
ມິຖຸນາ,6
ມີນາ,3
ສິງຫາ,8
ເມສາ,4
စက်တင်ဘာလ,9
ဇန္နဝါရီလ,1
ဇူလိုင်လ,7
ဇွန်လ,6
ဒီဇင်ဘာလ,12
နိုဝင်ဘာလ,11
ဖေဖေါ်ဝါရီလ,2
မတ်လ,3
မေ,5
သြဂုတ်လ,8
အောက်တိုဘာလ,10
ဧပြီလ,4
აგვისტო,8
აპრილი,4
დეკემბერი,12
თებერვალი,2
იანვარი,1
ივლისი,7
ივნისი,6
მაისი,5
მარტი,3
ნოემბერი,11
ოქტომბერი,10
სექტემბერი,9
ሀምሌ,7
ህዳር,11
መስከረም,9
መጋቢት,3
ሚያዚያ,4
ሰኔ,6
ታህሳስ,12
ነሐሴ,8
የካቲት,2
ግንቦት,5
ጥር,1
ጥቅምት,10
ខែកក្កដា,7
ខែកញ្ញា,9
ខែកុម្ភៈ,2
ខែតុលា,10
ខែធ្នូ,12
ខែមករា,1
ខែមិថុនា,6
ខែមីនា,3
ខែមេសា,4
ខែវិច្ឆិកា,11
ខែសីហា,8
ឧសភា,5
√°prilis,4
かもしれません,5
一月,1
七月,7
三月,3
九月,9
二月,2
五月,5
八月,8
六月,6
十一月,11
十二月,12
十月,10
四月,4
行進,3
구월,9
십월,10
십일월,11
유월,6
이월,2
일월,1
칠월,7
팔월,8
할 수있다,5
행진,3
